Input.image,multiplicity-vs-unity,absolute-vs-relative,linearly-vs-painterly,planar-vs-recessional,closed-form-vs-open-form
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000750.png,0.65,0.85,0.8,0.55,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000752.png,0.75,0.85,0.65,0.65,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000768.png,0.5,0.7,0.85,0.35,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000772.png,0.55,0.6,0.65,0.55,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000787.png,0.65,0.85,0.8,0.3,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000788.png,0.45,0.75,0.8,0.6,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000794.png,0.8,0.7,0.5,0.2,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000799.png,0.55,0.5,0.95,0.3,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000808.png,0.5,0.8,0.65,0.15,0.45
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000809.png,0.4,0.75,0.85,0.7,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000819.png,0.6,0.85,0.65,0.4,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000820.png,0.55,0.8,0.75,0.55,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000822.png,0.5,0.6,0.85,0.6,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000825.png,0.65,0.9,0.85,0.65,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000842.png,0.55,0.7,0.9,0.6,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000875.png,0.65,0.8,0.8,0.75,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000879.png,0.6,0.5,0.9,0.4,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000893.png,0.55,0.6,0.85,0.6,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000895.png,0.85,0.8,0.7,0.3,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000906.png,0.8,0.9,0.9,0.6,0.9
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000928.png,0.6,0.7,0.7,0.9,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000932.png,0.55,0.6,0.9,0.65,0.85
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000938.png,0.6,0.75,0.8,0.8,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000943.png,0.8,0.8,0.9,0.8,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000948.png,0.5,0.5,0.6,0.55,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000951.png,0.55,0.7,0.75,0.6,0.8
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000952.png,0.65,0.7,0.95,0.45,0.6
