,Input.image,Input.image,absolute-clarity-vs-relative-clarity,multiplicity-vs-unity,Linearly-vs-Painterly,Planar-vs-Recessional,closed-form-vs-open-form,amusement,anger,awe,contentment,disgust,excitement,fear,sadness,something else,overall_negative,overall_positive,overall_something
41,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000339.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000339.png,0.75,0.65,0.85,0.6,0.55,0,0,0,0,0,2,0,1,2,0,1,0
42,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000366.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000366.png,0.65,0.7,0.55,0.2,0.6,0,0,1,0,0,0,3,1,0,1,0,0
43,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000378.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000378.png,0.7,0.45,0.95,0.6,0.8,0,0,0,1,2,0,1,1,0,1,0,0
44,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000399.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000399.png,0.75,0.8,0.9,0.6,0.75,1,0,0,0,0,0,3,0,1,1,0,0
45,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000406.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000406.png,0.7,0.85,0.6,0.5,0.65,0,0,1,2,0,1,0,0,1,0,1,0
46,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000423.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000423.png,0.75,0.75,0.8,0.7,0.7,0,0,0,0,0,1,4,0,0,1,0,0
47,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000428.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000428.png,0.7,0.85,0.85,0.75,0.7,0,0,3,0,0,0,2,0,0,0,1,0
48,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000430.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000430.png,0.6,0.7,0.6,0.85,0.5,0,0,1,1,1,0,1,1,0,1,0,0
49,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000454.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000454.png,0.4,0.3,0.65,0.65,0.35,1,0,0,1,0,0,1,1,1,0,1,0
50,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000461.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000461.png,0.75,0.6,0.65,0.35,0.5,0,0,0,0,3,1,0,0,1,1,0,0
51,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000469.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000469.png,0.6,0.5,0.75,0.8,0.75,0,1,1,0,0,0,2,1,0,1,0,0
52,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000493.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000493.png,0.45,0.85,0.95,0.35,0.45,0,0,1,0,1,0,2,0,1,1,0,0
53,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000533.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000533.png,0.4,0.8,0.75,0.5,0.55,0,0,2,1,0,1,0,0,1,0,1,0
54,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000561.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000561.png,0.5,0.7,0.8,0.55,0.8,0,0,0,0,0,0,3,1,1,1,0,0
55,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000562.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000562.png,0.8,0.85,0.7,0.4,0.5,0,0,0,0,1,0,1,2,1,1,0,0
56,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000586.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000586.png,0.6,0.85,0.8,0.6,0.65,0,0,1,1,0,0,3,0,0,1,0,0
57,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000598.png,0.3,0.25,0.6,0.35,0.7,2,0,0,2,0,0,1,0,0,0,1,0
58,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000603.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000603.png,0.45,0.5,0.75,0.65,0.55,1,0,1,0,1,0,0,0,2,0,1,0
59,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000615.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000615.png,0.4,0.7,0.6,0.5,0.5,0,0,0,0,0,0,3,1,1,1,0,0
60,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000625.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000625.png,0.7,0.7,0.65,0.8,0.65,0,0,0,0,0,1,4,0,0,1,0,0
61,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000636.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000636.png,0.5,0.8,0.95,0.4,0.7,0,0,1,0,2,0,1,0,1,1,0,0
62,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000641.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000641.png,0.4,0.6,0.85,0.45,0.6,0,1,1,0,0,1,2,0,0,1,0,0
63,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000656.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000656.png,0.6,0.45,0.7,0.5,0.55,0,0,0,1,0,2,0,1,1,0,1,0
64,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000673.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000673.png,0.5,0.45,0.8,0.35,0.4,1,2,0,0,2,0,0,0,0,1,0,0
65,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000683.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000683.png,0.75,0.9,0.75,0.5,0.75,0,0,1,0,0,1,1,0,2,0,1,0
